Passenger Count;Trip Distance (in miles);Fare Amount;Surcharge;Tip Amount;Total Amount;Generous ? 
2;1,2;6,2;0,5;1;8,5;Yes
1;0,9;6,5;0,5;1;8,8;Yes
2;5,19;20,5;0,5;2,2;24;Yes
4;1,4;3;0,5;0;4,3;No
3;0,62;4,5;0,5;1;6,8;Yes
1;1,64;8,5;0,5;0;9,8;No
1;5,72;19;0,5;0;20,3;No
1;0,96;5;0,5;0,82;7,12;Yes
2;2,69;10;0,5;0;11,3;No
1;1,04;7;0,5;0;8,3;No
5;3,12;12,5;0,5;0;13,8;No
1;2,3;11;0,5;0;12,3;No
1;1,1;10;0,5;2;13,3;Yes
1;4,1;16;0,5;0;17,3;No
1;1,88;12;0,5;0;13,3;No
2;2,58;17;0,5;0;18,3;No
1;2,18;17,5;0,5;1;19,8;Yes
1;1,06;5;0,5;0;6,3;No
1;1,54;8;0,5;2,12;11,42;Yes
3;3,6;17;0,5;0;18,3;No
5;0,88;5,5;0,5;1,2;8;Yes
1;0,81;6;0,5;0;7,3;No
1;1;6,5;0,5;0;7,8;No
1;0,5;4;0,5;0;5,3;No
1;3,68;14;0,5;0;15,3;No
1;4,1;16;0,5;0;17,3;No
1;2,5;16;0,5;0;17,3;No
1;0,99;6;0,5;0;7,3;No
1;5,3;17,5;0,5;3,75;22,55;Yes
1;6,39;23,5;0,5;0;24,8;No
2;4,7;22,7;0,5;5;29;Yes
1;0,4;3,7;0,5;1;6;Yes
3;0,6;4,5;0,5;0;5,8;No
1;1,1;6;0,5;0;7,3;No
2;1,44;7;0,5;2,25;10,55;Yes
1;2;8,5;0,5;0;9,8;No
1;1,33;8;0,5;0;9,3;No
5;4,94;17,5;0,5;2;20,8;Yes
1;0,34;3,5;0,5;1;5,8;Yes
1;1,05;5,5;0,5;1,2;8;Yes
1;1,2;6;0,5;0;7;No
4;1,3;7;0,5;0;8,3;No
1;1,9;9;0,5;2,05;12,35;Yes
2;1;4,7;0,5;0;6;No
1;0,78;5,5;0,5;1,5;8,3;Yes
1;2,5;9;0,5;0;10,3;No
1;19,86;52;0;0;57,83;No
1;2,1;7,5;0,5;0;8,8;No
3;3,13;11,5;0,5;0;12,8;No
1;2,9;12;0,5;2,5;15,8;Yes
2;3,3;13;0,5;3,55;17,85;Yes
1;6,43;19,5;0,5;0;20,8;No
1;7,6;27,5;0,5;5,75;34,55;Yes
2;1,05;5,5;0,5;1,8;8,6;Yes
1;0,9;6,5;0,5;0;7,8;No
1;7,05;21,5;0,5;0;22,5;No
2;0,8;4,5;0,5;0;5,8;No
1;1,2;6,5;0,5;0;7,8;No
2;4,7;16,7;0,5;3,6;21,6;Yes
1;3,23;15,5;0,5;4;20,8;Yes
2;0,8;5;0,5;0;6,3;No
4;0,4;4,5;0,5;0;5,8;No
1;9,8;29,2;0,5;7,16;42,99;Yes
1;0,4;3,5;0,5;0;4,8;No
1;4,3;15;0,5;2,5;18,8;Yes
1;5;17;0,5;0;18,3;No
4;4,67;17;0,5;0;18,3;No
2;1,6;8,5;0,5;2,2;12;Yes
1;2,88;12;0,5;3,75;17,05;Yes
1;7,5;27,5;0,5;0;28,8;No
1;2,3;8,5;0,5;0;9,8;No
1;4,5;16,2;0,5;2;19,5;Yes
2;4,47;18,5;0,5;0;19,8;No
1;4;20;0,5;0;21,3;No
1;1,9;11;0,5;0;12,3;No
1;6;19;0,5;0;20,3;No
2;0,7;5;0,5;1,1;7,4;Yes
5;1,77;7,5;0,5;0;8,8;No
